alpha,beta,exposure,base_gap,recent_events,final_value,pnl,max_drawdown,sharpe,num_trades
0.2,0.2,0.1,0.5,5,112593.5,12593.5,0.16947308761152552,0.01856191374614784,21
0.2,0.2,0.1,0.5,8,112593.5,12593.5,0.16947308761152552,0.01856191374614784,21
0.2,0.2,0.1,0.5,12,112593.5,12593.5,0.16947308761152552,0.01856191374614784,21
0.2,0.2,0.1,1.0,5,112593.5,12593.5,0.16947308761152552,0.01856191374614784,21
0.2,0.2,0.1,1.0,8,112593.5,12593.5,0.16947308761152552,0.01856191374614784,21
0.2,0.2,0.1,1.0,12,112593.5,12593.5,0.16947308761152552,0.01856191374614784,21
0.2,0.2,0.1,2.0,5,112593.5,12593.5,0.16947308761152552,0.01856191374614784,21
0.2,0.2,0.1,2.0,8,112593.5,12593.5,0.16947308761152552,0.01856191374614784,21
0.2,0.2,0.1,2.0,12,112593.5,12593.5,0.16947308761152552,0.01856191374614784,21
0.2,0.2,0.2,0.5,5,112593.5,12593.5,0.16947308761152552,0.01856191374614784,21
0.2,0.2,0.2,0.5,8,112593.5,12593.5,0.16947308761152552,0.01856191374614784,21
0.2,0.2,0.2,0.5,12,112593.5,12593.5,0.16947308761152552,0.01856191374614784,21
0.2,0.2,0.2,1.0,5,112593.5,12593.5,0.16947308761152552,0.01856191374614784,21
0.2,0.2,0.2,1.0,8,112593.5,12593.5,0.16947308761152552,0.01856191374614784,21
0.2,0.2,0.2,1.0,12,112593.5,12593.5,0.16947308761152552,0.01856191374614784,21
0.2,0.2,0.2,2.0,5,112593.5,12593.5,0.16947308761152552,0.01856191374614784,21
0.2,0.2,0.2,2.0,8,112593.5,12593.5,0.16947308761152552,0.01856191374614784,21
0.2,0.2,0.2,2.0,12,112593.5,12593.5,0.16947308761152552,0.01856191374614784,21
0.2,0.2,0.3,0.5,5,112593.5,12593.5,0.16947308761152552,0.01856191374614784,21
0.2,0.2,0.3,0.5,8,112593.5,12593.5,0.16947308761152552,0.01856191374614784,21
0.2,0.2,0.3,0.5,12,112593.5,12593.5,0.16947308761152552,0.01856191374614784,21
0.2,0.2,0.3,1.0,5,112593.5,12593.5,0.16947308761152552,0.01856191374614784,21
0.2,0.2,0.3,1.0,8,112593.5,12593.5,0.16947308761152552,0.01856191374614784,21
0.2,0.2,0.3,1.0,12,112593.5,12593.5,0.16947308761152552,0.01856191374614784,21
0.2,0.2,0.3,2.0,5,112593.5,12593.5,0.16947308761152552,0.01856191374614784,21
0.2,0.2,0.3,2.0,8,112593.5,12593.5,0.16947308761152552,0.01856191374614784,21
0.2,0.2,0.3,2.0,12,112593.5,12593.5,0.16947308761152552,0.01856191374614784,21
0.2,0.5,0.1,0.5,5,115309.5,15309.5,0.16840504128639722,0.021603979503846252,21
0.2,0.5,0.1,0.5,8,115309.5,15309.5,0.16840504128639722,0.021603979503846252,21
0.2,0.5,0.1,0.5,12,115309.5,15309.5,0.16840504128639722,0.021603979503846252,21
0.2,0.5,0.1,1.0,5,115309.5,15309.5,0.16840504128639722,0.021603979503846252,21
0.2,0.5,0.1,1.0,8,115309.5,15309.5,0.16840504128639722,0.021603979503846252,21
0.2,0.5,0.1,1.0,12,115309.5,15309.5,0.16840504128639722,0.021603979503846252,21
0.2,0.5,0.1,2.0,5,115309.5,15309.5,0.16840504128639722,0.021603979503846252,21
0.2,0.5,0.1,2.0,8,115309.5,15309.5,0.16840504128639722,0.021603979503846252,21
0.2,0.5,0.1,2.0,12,115309.5,15309.5,0.16840504128639722,0.021603979503846252,21
0.2,0.5,0.2,0.5,5,115309.5,15309.5,0.16840504128639722,0.021603979503846252,21
0.2,0.5,0.2,0.5,8,115309.5,15309.5,0.16840504128639722,0.021603979503846252,21
0.2,0.5,0.2,0.5,12,115309.5,15309.5,0.16840504128639722,0.021603979503846252,21
0.2,0.5,0.2,1.0,5,115309.5,15309.5,0.16840504128639722,0.021603979503846252,21
0.2,0.5,0.2,1.0,8,115309.5,15309.5,0.16840504128639722,0.021603979503846252,21
0.2,0.5,0.2,1.0,12,115309.5,15309.5,0.16840504128639722,0.021603979503846252,21
0.2,0.5,0.2,2.0,5,115309.5,15309.5,0.16840504128639722,0.021603979503846252,21
0.2,0.5,0.2,2.0,8,115309.5,15309.5,0.16840504128639722,0.021603979503846252,21
0.2,0.5,0.2,2.0,12,115309.5,15309.5,0.16840504128639722,0.021603979503846252,21
0.2,0.5,0.3,0.5,5,115309.5,15309.5,0.16840504128639722,0.021603979503846252,21
0.2,0.5,0.3,0.5,8,115309.5,15309.5,0.16840504128639722,0.021603979503846252,21
0.2,0.5,0.3,0.5,12,115309.5,15309.5,0.16840504128639722,0.021603979503846252,21
0.2,0.5,0.3,1.0,5,115309.5,15309.5,0.16840504128639722,0.021603979503846252,21
0.2,0.5,0.3,1.0,8,115309.5,15309.5,0.16840504128639722,0.021603979503846252,21
0.2,0.5,0.3,1.0,12,115309.5,15309.5,0.16840504128639722,0.021603979503846252,21
0.2,0.5,0.3,2.0,5,115309.5,15309.5,0.16840504128639722,0.021603979503846252,21
0.2,0.5,0.3,2.0,8,115309.5,15309.5,0.16840504128639722,0.021603979503846252,21
0.2,0.5,0.3,2.0,12,115309.5,15309.5,0.16840504128639722,0.021603979503846252,21
0.2,1.0,0.1,0.5,5,114459.0,14459.0,0.16440718846278118,0.02160452553583148,21
0.2,1.0,0.1,0.5,8,114459.0,14459.0,0.16440718846278118,0.02160452553583148,21
0.2,1.0,0.1,0.5,12,114459.0,14459.0,0.16440718846278118,0.02160452553583148,21
0.2,1.0,0.1,1.0,5,114459.0,14459.0,0.16440718846278118,0.02160452553583148,21
0.2,1.0,0.1,1.0,8,114459.0,14459.0,0.16440718846278118,0.02160452553583148,21
0.2,1.0,0.1,1.0,12,114459.0,14459.0,0.16440718846278118,0.02160452553583148,21
0.2,1.0,0.1,2.0,5,114459.0,14459.0,0.16440718846278118,0.02160452553583148,21
0.2,1.0,0.1,2.0,8,114459.0,14459.0,0.16440718846278118,0.02160452553583148,21
0.2,1.0,0.1,2.0,12,114459.0,14459.0,0.16440718846278118,0.02160452553583148,21
0.2,1.0,0.2,0.5,5,114459.0,14459.0,0.16440718846278118,0.02160452553583148,21
0.2,1.0,0.2,0.5,8,114459.0,14459.0,0.16440718846278118,0.02160452553583148,21
0.2,1.0,0.2,0.5,12,114459.0,14459.0,0.16440718846278118,0.02160452553583148,21
0.2,1.0,0.2,1.0,5,114459.0,14459.0,0.16440718846278118,0.02160452553583148,21
0.2,1.0,0.2,1.0,8,114459.0,14459.0,0.16440718846278118,0.02160452553583148,21
0.2,1.0,0.2,1.0,12,114459.0,14459.0,0.16440718846278118,0.02160452553583148,21
0.2,1.0,0.2,2.0,5,114459.0,14459.0,0.16440718846278118,0.02160452553583148,21
0.2,1.0,0.2,2.0,8,114459.0,14459.0,0.16440718846278118,0.02160452553583148,21
0.2,1.0,0.2,2.0,12,114459.0,14459.0,0.16440718846278118,0.02160452553583148,21
0.2,1.0,0.3,0.5,5,114459.0,14459.0,0.16440718846278118,0.02160452553583148,21
0.2,1.0,0.3,0.5,8,114459.0,14459.0,0.16440718846278118,0.02160452553583148,21
0.2,1.0,0.3,0.5,12,114459.0,14459.0,0.16440718846278118,0.02160452553583148,21
0.2,1.0,0.3,1.0,5,114459.0,14459.0,0.16440718846278118,0.02160452553583148,21
0.2,1.0,0.3,1.0,8,114459.0,14459.0,0.16440718846278118,0.02160452553583148,21
0.2,1.0,0.3,1.0,12,114459.0,14459.0,0.16440718846278118,0.02160452553583148,21
0.2,1.0,0.3,2.0,5,114459.0,14459.0,0.16440718846278118,0.02160452553583148,21
0.2,1.0,0.3,2.0,8,114459.0,14459.0,0.16440718846278118,0.02160452553583148,21
0.2,1.0,0.3,2.0,12,114459.0,14459.0,0.16440718846278118,0.02160452553583148,21
0.5,0.2,0.1,0.5,5,109587.5,9587.5,0.203947518124269,0.012531247531232657,19
0.5,0.2,0.1,0.5,8,109587.5,9587.5,0.203947518124269,0.012531247531232657,19
0.5,0.2,0.1,0.5,12,109587.5,9587.5,0.203947518124269,0.012531247531232657,19
0.5,0.2,0.1,1.0,5,109587.5,9587.5,0.203947518124269,0.012531247531232657,19
0.5,0.2,0.1,1.0,8,109587.5,9587.5,0.203947518124269,0.012531247531232657,19
0.5,0.2,0.1,1.0,12,109587.5,9587.5,0.203947518124269,0.012531247531232657,19
0.5,0.2,0.1,2.0,5,109587.5,9587.5,0.203947518124269,0.012531247531232657,19
0.5,0.2,0.1,2.0,8,109587.5,9587.5,0.203947518124269,0.012531247531232657,19
0.5,0.2,0.1,2.0,12,109587.5,9587.5,0.203947518124269,0.012531247531232657,19
0.5,0.2,0.2,0.5,5,109587.5,9587.5,0.203947518124269,0.012531247531232657,19
0.5,0.2,0.2,0.5,8,109587.5,9587.5,0.203947518124269,0.012531247531232657,19
0.5,0.2,0.2,0.5,12,109587.5,9587.5,0.203947518124269,0.012531247531232657,19
0.5,0.2,0.2,1.0,5,109587.5,9587.5,0.203947518124269,0.012531247531232657,19
0.5,0.2,0.2,1.0,8,109587.5,9587.5,0.203947518124269,0.012531247531232657,19
0.5,0.2,0.2,1.0,12,109587.5,9587.5,0.203947518124269,0.012531247531232657,19
0.5,0.2,0.2,2.0,5,109587.5,9587.5,0.203947518124269,0.012531247531232657,19
0.5,0.2,0.2,2.0,8,109587.5,9587.5,0.203947518124269,0.012531247531232657,19
0.5,0.2,0.2,2.0,12,109587.5,9587.5,0.203947518124269,0.012531247531232657,19
