alpha,beta,final_value,pnl,max_drawdown,sharpe,num_trades
0.2,0.2,199945.5,99945.5,0.2513187965015379,0.0511546492595785,52
0.2,0.5,199930.5,99930.5,0.25956943572911134,0.05081373705736887,52
0.2,1.0,199913.5,99913.5,0.2642508523051097,0.05060826902787287,52
0.2,2.0,199899.5,99899.5,0.26724832539690774,0.05047250060723312,52
0.5,0.2,199951.0,99951.0,0.2432662037592105,0.05156327646765556,52
0.5,0.5,199945.5,99945.5,0.2513187965015379,0.0511546492595785,52
0.5,1.0,199935.0,99935.0,0.2577226528854436,0.05089169820095459,52
0.5,2.0,199919.5,99919.5,0.26293512671884334,0.050667213730478146,52
1.0,0.2,199952.5,99952.5,0.2374072721189921,0.0519424201742261,53
1.0,0.5,199949.5,99949.5,0.24503969614282384,0.05147482160611357,52
1.0,1.0,199945.5,99945.5,0.2513187965015379,0.0511546492595785,52
1.0,2.0,199935.0,99935.0,0.2577226528854436,0.05089169820095459,52
2.0,0.2,199953.5,99953.5,0.23452858686869033,0.052089027309269585,53
2.0,0.5,199952.0,99952.0,0.23868030222295092,0.051876876675542936,53
2.0,1.0,199949.5,99949.5,0.24503969614282384,0.05147482160611357,52
2.0,2.0,199945.5,99945.5,0.2513187965015379,0.0511546492595785,52
